sentence	label
i placed an arrow in my bow , and aimed for the head .	1
i couldnt let the creature reach my house .	1
i pulled back the string , and then stopped .	1
i couldnt take out one of these like , this unless i set it on fire .	1
but emily wasnt here .	1
i could take it out with a few arrows but its best to kill thrashers before they realize youre there .	1
instead i lowered my bow and slowly crept up to it , until i could see the hideous claws on its hands and the hatred in its eyes .	1
thrashers hate everything and sometimes i wonder how they tolerate each other .	1
i aimed for the head again and released the arrow .	1
it whizzed silently into the thrasher and it howled in pain as the arrow dug into its fur .	1
it whirled around , facing me .	1
a low growl sounded in its throat and it charged .	1
i ducked as it slashed my side and i winced .	1
my shirt slowly turned blue from the trickling wound .	1
yes , blue , my blood is blue .	1
it turned back around and threw its self at me .	1
this time i was prepared .	1
i pulled out my hunting knife out just as he landed on me .	1
he yelped and went limp .	1
i pushed him off and grabbed my fallen bow , the familiar feeling of the wood boosting my confidence .	1
i turned back around and started back where i left off , but then a body slammed into me .	1
i just had enough time to see the thrasher , before the fur and dirt filled my vision .	1
i spit out the clump of wiry hair that had somehow found its way into my gasping mouth .	1
i felt a searing pain as the thrasher raked my left leg .	1
i closed my eyes against the pain , trying to focus myself against the dull throb in my shin .	1
then the thrasher went limp against me .	1
it was hauled off of my body and i found myself looking up into the face of a very unhappy dark blue haired boy .	1
his sword was gripped tightly in his clenched fingers and a look of amusement , or many it was anger , shone on his face .	1
i swallowed and collected my weapons from the ground , not daring to look at my leg .	1
hi seth , this is unexpected .	1
seth glared at me and pulled me up .	1
he was definitely angry at me .	1
i tried to place weight on my leg but winced as pain shot up it .	1
he kicked the dead thrasher one more time before sheathing his sword .	1
you know better jazell then to take on a monster by yourself .	1
you never know what kind it is until you have already changed , he scolded me and i could feel a lecture coming .	1
i looked down at leg .	1
claw marks ran up my shin and my blue blood was soaking my pants .	1
i had to seth ; it was heading for my house .	1
that made me panic a bit .	1
i dont care jazell ; if i hadnt been here i would have found you shredded to small pieces .	1
all you had to do was send me a quick text and i would have showed up to help .	1
but you didnt .	1
i sighed in annoyance , not in the mood for this right now .	1
seth was like this sometimes , strict and serious , but he was normally a jokester .	1
hes strict on the fact that we attack in groups , mostly for the reason that he didnt want anything to happen to our group .	1
i started to slowly limp back to my body but seth just disappeared from my side .	1
he has this annoying skill to be able to just return to his body without having to be near it , which wasnt fair when he wasnt the one injured .	1
i , however , had to stiffly make my way to my dormant human body .	1
once i was near it , i closed my eyes and the wind picked back up .	1
my body felt hot and cold simultaneously as i returned .	1
i reopened my eyes and stood up , stretched , and grabbed my bag .	1
my back sent a chorus of cracks cascading upwards as i straightened myself .	1
i raised the side of my shirt to find the thin , red scratch marks .	1
any injuries i get in my hunter form i have when i become human again , just not as severe .	1
i quickly ran my fingers over the darker , thicker marks on my shin , the skin sore and purple .	1
i quickly checked myself for any other injures i might have acquired from my tangle with the thrasher , but all i found was a bunch of bruises .	1
seth seemed to have disappeared , so i trudged down the road to my house .	1
its cozy familiar blue paint and white shutters helped to relax me as i pushed open the door .	1
my house wasnt very big and fancy ; it was actually pretty plain but thats why i loved it .	1
it had two floors , with a fair sized kitchen and a mini living room .	1
my room was just up the stairs , and it beckoned to me even though i was more interested in dinner .	1
my mom was cooking in the kitchen and my dad was sitting at the kitchen table going through his usual paper work .	1
he looked up as i entered , pushing his glasses back up his face .	1
hi sweetheart , finally home ?	1
he asked giving me a warm smile .	1
i kissed his cheek and my moms before heading toward the stairs .	1
yup .	1
dinners ready in a few minutes , jazell !	1
my mom called as i climbed the stairs , eager to collapse on my bed for a few minutes .	1
got it !	1
i called back .	1
my room was painted a light green , with a bed shoved in the corner and a bookshelf overflowing with books .	1
i had a small desk to the left of my bed that was piled up high with homework and random drawings .	1
i threw my bag on my bed and took off my shoes .	1
then i headed back down stairs to help set the table .	1
my mom handed me some dishes and utensils .	1
i set a plate down in front of my dad .	1
he frowned and pointed to my scratched shin .	1
what happened ?	1
he asked , and studied my leg .	1
i tripped on a crack and scraped my leg .	1
i said flatly , the lie rolling off my tongue easily .	1
i placed my last dish down and sat in my chair .	1
dad chuckled .	1
youre so clumsy .	1
i wouldnt be surprised if you tripped on your own feet .	1
yup , thats me , clumsy .	1
i pulled my leg close to my body .	1
my parents had believed for a long time that i was a klutz .	1
that was the only way to explain the million of cuts and bruises i gained from fighting creatures .	1
the truth is that i have really great balance , which i had gained from so much fighting .	1
i was a little klutzy when i was small , so it was easy for my parents to believe i still was .	1
mom placed the food on the table .	1
dinner !	1
after dinner i went straight up stairs to go to sleep .	1
and hopefully my phone wouldnt stop me like it did most nights .	1
monsters loved to come out at night and cause trouble .	1
they never seem to rest , much to my annoyance .	1
i sighed and rolled over , burying my face in my pillow .	1
i managed to think about something other than creatures that go bump in the night as i drifted off to sleep .	1
in the morning i changed and ran down stairs and left a note saying i was going out to eat with jason , emily and seth .	1
it took me minutes to speed down to the small breakfast restaurant in town .	1
i chained up my bike and walked over to the plastic blue table my friends had occupied .	1
i slid in next to emily , who was talking about some book she had read recently .	1
jason , who sat next to her , was pretending to be fascinated by her rant .	1
emily stopped in mid-sentence when she noticed me sitting beside her .	1
jazell , youre here !	1
she exclaimed .	1
is it true , did you take on a monster by yourself yesterday ?	1
i sighed , shooting a look at seth .	1
yes it is .	1
thanks tattle-tale seth .	1
well you did and i thought the group had a right to know that .	1
seth said sharply .	1
how could you jazell ?	1
you could have gotten seriously hurt .	1
plus i bet all of us want a shot at them too .	1
she huffed and shook her head .	1
the light brown curls that framed her pretty face bounced around playfully .	1
im fine emily , seriously .	1
jason was silent .	1
he never talked much like emily , who was easily the most talkative , friendly person i knew .	1
jason was more of the silent , watching type , who said little but noticed much .	1
i traced in a puddle on the table , avoiding everyones eye contact as they stared at me .	1
emily patted my arm .	1
its okay .	1
we arent mad at you or anything .	1
right seth ?	1
she glared at him .	1
he shrugged .	1
i guess .	1
emily perked up .	1
you see , everyone makes mistakes .	1
seth grunted to himself .	1
emily rolled her eyes .	1
hey seth , its not like you havent done something stupid .	1
we all remember the swamp troll .	1
seth frowned and jason snickered .	1
seth punched his arm .	1
hey dont make me nag you about the time you almost took off my head with your throwing knifes .	1
jason stopped dead and narrowed his eyes .	1
it was an accident .	1
i didnt know youd run that way .	1
alright , we understand that weve all done stupid , foolish things .	1
so lets just add this accident to my list , okay ?	1
i said quickly before the two started something .	1
they nodded but shot each other smirks .	1
i sighed , wondering why those two buffoons had been granted this power along , with emily and me .	1
its not like they werent foolish enough already .	1
the day when it all changed was still a mystery to us .	1
a lot of things happened that didnt quite make sense .	1
the four of us were already best friends .	1
we were walking through the woods , rambling on about how halloween was almost here and that ms. stecher was still giving us too much homework .	1
then all of a sudden an invisible object slammed into me .	1
i shrieked and couldnt move .	1
it had me pinned to the ground .	1
seth ran forward and grabbed a branch to protect me .	1
it should have gone right through the air but it collided into something and snapped in half .	1
seth dropped it in amazement .	1
emily ran over to me but was plowed to the ground .	1
she screamed , spitting out dirt , twigs and leaves .	1
seth stood watching , terrified .	1
he didnt have a clue as what to do to fight these invisible creatures .	1
none of us did , at that time , because we didnt know what was going on .	1
the world was still a normal place to us at the time .	1
something grabbed seths legs and pulled him against a tree .	1
he kicked and punched but couldnt find the right place to hit his attacker .	1
hold on !	1
jason yelled .	1
i opened my mouth to say that we already were when he vanished .	1
dragged away was my guess .	1
my legs shot with pain .	1
i heard emily yell the first curse words ive heard her say in a while .	1
i spotted her red arm just before my body felt like fire .	1
i closed my eyes and blacked out .	1
i didnt really black out but thats what i thought at the time .	1
i opened my eyes to find i was sitting on the ground next to my sleeping body .	1
i saw emily sitting there , saying nothing for once .	1
something fell off my back and i picked it up .	1
it was a wooden bow , and when i reached behind my back i felt a quiver full of feathered arrows strapped there .	1
i ran a finger over the smooth , dark wood and turned to see seth crashing out of the woods .	1
i smirked at him and pointed at his head .	1
you have dark blue hair .	1
i giggled , not knowing why i was giggling after what had just happened to us a few minutes ago .	1
he frowned and pulled a piece or two out of his head .	1
his eyes widened , and i laughed at the shock on his face .	1
if we were dead , which was my best guess , why not poke fun at him ?	1
seth smiled at me .	1
well , yes but you have green hair .	1
its bright green , like neon green .	1
i shoved my hair in front of my face .	1
it was bright green all right .	1
i stood up and examined myself .	1
i was wearing light brown hunting boots and tight black pants made out of some sort of light cloth .	1
a thick woven jacket was shielding me from the october cold .	1
when i looked back at seth , i realized he had also made an outfit change .	1
he was wearing black leather boots and dark blue pants .	1
his top was a short , brown cloak with a hood and leather belt .	1
a beautiful steel sword with an ornamental hilt was swinging at his side from a woven sheath .	1
oh well , i guess i have green hair .	1
its not that bad .	1
i like green .	1
i rambled as i examined the short hunting knife that was resting in a small sheath on my hip .	1
i ran a finger over the blade before putting it back .	1
how seth and i had acquired such dangerous weapons was anyones guess .	1
i certainly had no clue .	1
i heard footsteps and turned to see emily running over .	1
she was wearing a close fitting , long robe .	1
it was a stunning deep blue with a trim of gold embroidery .	1
she had no weapons dangling from her body were visible from where i was standing .	1
i have pink hair !	1
isnt it cool ?	1
she spun around so we could take in all of its bubblegum pink color .	1
she looked at the bow slung over my shoulder and seths gleaming sword .	1
hey , i dont have anything cool and deadly .	1
why do you both get something like that and i didnt ?	1
its not like you can trust jazell with something sharp or dangerous .	1
hey !	1
we cant trust you either .	1
i pointed out , crossing my arms .	1
arming you is as scary as giving a kindergartener a knife .	1
she gasped .	1
yeah , well , im ignoring you now .	1
she huffed and turned around .	1
there you are !	1
jason exclaimed as he crashed out of the trees , panting .	1
his wavy hair was a deep red that framed his eyes but he didnt seem to have noticed its color change or to care .	1
he was wearing an all black layered tunic and pants with boots that looked as light as mine .	1
if i didnt know it was jason , i would have taken a huge step backwards at his assassin-like appearance .	1
whats going on ?	1
he demanded , eyes flickering from each of us as he took in all of our strange appearances .	1
dont know jason , were as stumped as you .	1
i said .	1
he bit his lip and then smirked .	1
oh , i almost forgot .	1
look at this .	1
he gestured at his belt , grinning mischievously .	1
hanging there were a multitude of thin , dangerous looking knives .	1
he pulled up his sleeve so i could see another one strapped there .	1
cool , huh ?	1
emily had turned to see jason appear .	1
she spotted his knives and groaned , stomping her foot .	1
aw come on !	1
jason whispered behind his hand to seth and i. whats up with her ?	1
seth shrugged .	1
i dont know .	1
girl issues ?	1
i heard that !	1
emily said angrily .	1
thats when suddenly a hideous creature appeared in front of us .	1
it was hunched over , with thick furry skin and wicked claws that shot out of its curled paws .	1
we would soon know them as thrashers , beasts we would get used to seeing .	1
i dont know who screeched louder in fear , but im pretty sure it might have been me .	1
seth pulled his sword out but his hand shook like mad .	1
i clumsily pulled an arrow out of the quiver on my back and struggled to attach it to my bow .	1
how the heck did those people in movies make this look so easy ?	1
i exchanged a look with seth , but he looked as clueless as i did .	1
none of this felt real .	1
i swear , the creature laughed at us .	1
or maybe my fear was making me see and hear things .	1
jason moved silently to stand beside us , one of his throwing knives in his hand .	1
what do we do ?	1
were dead so it cant hurt us right ?	1
i asked .	1
i dont feel dead .	1
jason whispered .	1
i didnt either .	1
in fact , i realized that my whole body was aching from the strange attack i had experienced .	1
and if i was dead , i wouldnt need to breathe so heavily .	1
my heart was racing so fast that it might explode right out of my chest .	1
jason threw the knife he had been holding and it stuck into a tree .	1
he grinned at me and i guess it hit exactly where he wanted .	1
on the count of three , we attack with everything weve got .	1
okay ?	1
seth looked at jason and i .	1
we nodded at him .	1
one , two three !	1
when seth hit three , he charged with his sword .	1
i pulled back and released my arrow .	1
it hit the thrashers front paw .	1
before i could think , i had notched another one on the bow and drew back the string .	1
it was like i had been an archer my whole life .	1
jason threw knife after knife , hitting its mark every time .	1
when the creature went down , seth stood and took a breath .	1
then another tackled him to the ground .	1
i didnt know what to do and jason didnt either .	1
emily ran forward and pointed to seth who was clawing toward his weapon .	1
do something !	1
she screamed .	1
before i could reply , fire shot from her finger .	1
the thrasher yelped and jumped off seth and ran toward emily .	1
she smiled wickedly and held both hands out , pelting the creature with fire .	1
i pulled seth up in time to see the thrasher buried entangled by roots shooting from the dirt .	1
jason threw a knife in the pile to make sure it was really dead .	1
you okay ?	1
i asked seth , and congratulated emily on her new found talent .	1
im fine .	1
he said and limped over .	1
i gasped and pointed to his leg .	1
seth , youre bleeding blue !	1
he just blinked at him , glancing down at his leg .	1
he didnt answer as he tugged at me to start walking back towards where we had last seen ourselves .	1
we could still see our bodies sleeping peacefully , but this time i noticed that we were all faintly glowing blue .	1
i could see the rise and fall of my chest as i breathed .	1
so i really was alive , which made this situation even creepier and stranger .	1
i had two bodies !	1
how was this even possible ?	1
what do we do ?	1
seth , do you any ideas ?	1
she frowned when he didnt answer .	1
seth ?	1
emily spun in a circle but seth was nowhere to be found .	1
seth walked out from behind a tree .	1
but he was normal seth .	1
he had his dirty blonde hair back and was wearing his dirty jeans and shirt from school .	1
no dark red hair , no glimmering sword , no bleeding wound .	1
his warrior self was nowhere to be seen .	1
seth howd you do that ?	1
i asked .	1
he whirled around .	1
whos there ?	1
me , you idiot !	1
i snorted .	1
he stared at the place where i was standing , but his eyes werent focused on me .	1
jazell ?	1
obviously , are you blind ?	1
i can hear you but cant see you .	1
arent you back ?	1
where are you ?	1
no .	1
i said frustrated , now tell us how you got back .	1
he closed his eyes and sat down .	1
i imagined myself in my body , and what is was like to be back .	1
and then i was back to normal .	1
wait .	1
the wind picked up around him and then suddenly he was back , blue hair and all , standing beside his sitting , normal body .	1
wow how did you do that ?	1
emily gasped .	1
i imagined what it was like to fight that creature .	1
and then my body took over .	1
he explained , but i dont think he even understood .	1
then he was gone again and the real seth stood up .	1
try it .	1
i closed my eyes and thought of school and all of ms. stechers homework that i needed to do .	1
then my body was doing the rest .	1
i felt hot and cold , as the winds seemed to pick up .	1
i shivered and opened my eyes .	1
i was lying on the ground .	1
my hair brown hair flopped in my face as i sat up , seeing emily dash over to me .	1
seconds later jason walked through the trees , rubbing his face .	1
seth grinned at all of us ; we were back .	1
thats how it all started .	1
i dont know how we got the gift to become these different people , but we did .	1
thats the mystery and hopefully well solve it one day .	1
we were chosen for some unknown reason , but that reason doesnt matter .	1
all that matters is that we protect this town .	1
jasons eyes flashed .	1
i stood up and leaned over to him .	1
what jason ?	1
monsters , a whole bunch of them .	1
i saw the movement near the pond .	1
he pointed to the pond that was just nestled in the woods .	1
and with that , we were off .	1
running towards the pond to do what we do best , destroy monsters .	1
only this time it was different .	1
chapter 2 we ran and ducked behind a large boulder , huddling together .	1
we all sat down , closed our eyes , and concentrated .	1
i felt a shiver run through my body as i left it and entered my hunter form .	1
i followed emily , jason , and seth as we crept silently over to the monsters , splitting up to surround them .	1
i counted two thrashers , which surprised me .	1
i swear we saw more before .	1
the thrasher turned before we could execute a surprise attack .	1
seth marched over , swinging his sword .	1
jason threw knives calmly at the other monster while emily casted fire by his side .	1
i , however , was jumped on by something entirely new .	1
they were small and stubby , the size of dwarfs or gnomes .	1
their skin was shriveled and grey , and hung off their bodies like cold clothing .	1
their eyes were a bright yellow that matching their teeth and their fingers looked like gnarly old trees .	1
and the smell ; it was awful .	1
they grabbed my feet , back and tugged at my hair .	1
why does everything always happen to me ?	1
i complained .	1
no one heard me .	1
the ugly creatures continued tugging at me like annoying two year old , which made me get really annoyed .	1
get off me ugly looking toad dwarfs .	1
hey , thats what ill call you , toad dwarfs .	1
i smiled at my quick thinking .	1
i could be clever sometimes .	1
take that seth .	1
silly girl , were already called toad dwarfs .	1
the one on my leg croaked .	1
aw darn , never mind then .	1
so much for being clever .	1
the one on my back grabbed my hair .	1
he yanked it back .	1
ow !	1
it may be green but i still value it !	1
i grumbled , trying to pull my head free .	1
i also had no desire to be bald at 16 .	1
hes rising , hes rising !	1
the dwarf said excitedly .	1
his voice cracked at the last word .	1
who the heck is rising and why does it require pulling my hair out !	1
i snapped .	1
hes rising , hes rising !	1
he repeated , full of crazed excitement .	1
i swear i could feel him shaking from exhilaration .	1
whatever , youre now an official maniac .	1
i pulled out my hunting knife .	1
maniacs get destroyed by me .	1
no maniacs are allowed to exist except for me and emily .	1
he jumped off as i stabbed the one on my arm .	1
i grabbed my bow and shot him with an arrow before he his little legs could he him very far .	1
he fell to the ground , the arrow sticking straight up at the sky .	1
now the forest was maniac free .	1
i killed the others and looked up to find the thrashers dead too , probably courtesy of seth .	1
a few dwarfs were also lying dead in front of emily .	1
i walked back to my body and closed my eyes .	1
when i reopened them , i stood , stretching my legs .	1
the four of us headed back to the restaurant together , adrenaline still pumping through my veins .	1
i told emily and the boys about the freaky dwarves .	1
crazy right ?	1
i asked , running a hand through my hair .	1
no one said anything and emily produced a pencil out of her bag .	1
i need a piece of paper , jazell .	1
i ripped one out of my notebook and handed it to her .	1
we sat at the table and emily titled the page : warnings .	1
i didnt know why .	1
okay , jazell , what exactly did he say ?	1
emily asked , pencil poised in the air ready to write .	1
he said , hes rising , hes rising .	1
i have no idea who he meant or if what he said means anything .	1
emily scribbled down , toad dwarf said , hes rising , hes rising .	1
whos coming and is he important ?	1
i stared at the paper , the question swirling in my mind .	1
who did he mean ?	1
now what did the dwarf tell you , seth ?	1
she asked .	1
he said , you wont stop him , little warrior .	1
he frowned at the last part .	1
emily added , toad dwarf told seth , you wont stop him , little warrior .	1
does this mean hes powerful ?	1
did you have to add the little warrior part ?	1
it makes me sound weak .	1
seth complained .	1
i did because we need all the facts .	1
its obvious the dwarf was trying to make you sound weak anyway .	1
now what did he tell you , jason ?	1
he said , he will destroy all half-lings .	1
whats that supposed to mean , anyway ?	1
jason said .	1
she added the last bullet ; toad dwarf said to jason , he will destroy all half-ling .	1
what does half-ling mean ?	1
did the dwarfs tell you anything ?	1
i asked , taking the paper .	1
none of what she wrote on the paper made any sense to me .	1
she shook her head .	1
no and if they did , i was too busy trying to burn them to hear them .	1
she took the paper back .	1
well i think the only thing weve established is that toad dwarves are crazy .	1
seth said .	1
i noticed a thin , red line on his cheek where a thrasher must have scratched him .	1
emily wagged her finger at him .	1
never dis facts .	1
they might save you later in life .	1
seth just snorted .	1
jason punched him in the side .	1
listen to emily .	1
shes actually right sometimes .	1
thank you , jason .	1
she said cheerfully , huh wait , sometimes ?	1
she raised an eyebrow at him .	1
jason scowled at her .	1
im admitting youre sometimes right so dont push it .	1
point taken .	1
she tucked the paper in her drawstring bag .	1
you guys want to go to the park ?	1
they both half nodded , half shrugged , which she took for a yes .	1
so we got up and mounted our bikes .	1
i threw the bike lock in my bag , clipped on my helmet , and followed the others .	1
the three of them raced each other , but i kept my bike behind them .	1
what the dwarf had said was still troubling me and i didnt know if anyone else was feeling the same way .	1
i saw seth slow his bike down and glide next to me .	1
hey , he said .	1
hey .	1
then a question popped into my head , what were you doing alone in the woods yesterday ?	1
he was silent so i yelled to emily , hey , seths lost for words !	1
emily appeared by me and chuckled .	1
whats wrong , seth ?	1
thrasher got your tongue ?	1
before he could reply i said , i asked him what he was doing in the woods yesterday and he didnt have an answer .	1
we all know what this means .	1
yup , hes hiding something .	1
seth , why were you yelling at jazell for being out alone in the woods when you were doing the same ?	1
i wasnt hunting down monsters alone .	1
jazell was doing that , he grumbled , clearly annoyed .	1
but you were still out alone and you yelled at me for doing the same thing .	1
the same thing could have happened to you .	1
do you think youre stronger than the rest of us ?	1
my voice rose slightly at the end of my question .	1
no .	1
he went quiet and tried to avoid our eye contact .	1
now whos keeping secrets ?	1
youre breaking your own rules .	1
why were you out ?	1
emily can be very demanding sometimes , i actually felt a little bad about involving her in my interrogation .	1
just a little .	1
he mumbled something under his breath .	1
i cant hear you .	1
emily snapped .	1
i was out scouting !	1
he shouted , now can you hear me ?	1
yes , and now youve made me deaf !	1
emily yelled back .	1
why were you out scouting in the first place ?	1
i asked calmly , trying not to shout it out like emily .	1
seth gripped the handlebars and i knew he was losing his temper .	1
i was being cautious so we didnt have to worry last night , he said through gritted teeth .	1
he was lying and both of us knew that .	1
i glared at him , nice story seth , now what really happened ?	1
he didnt say anything and he rode ahead to get beside jason , who was in the lead .	1
the park slowly came in view .	1
it was a huge grass circle with a small play set in the middle covered in kids .	1
the woods surrounded it except for the side that faced the street .	1
a fountain was near the entrance along with a bike rack .	1
thats where we parked our bikes .	1
i clicked the lock together and grabbed my bag .	1
emily was fumbling with her bike lock , which was old and rusted and usually refused to work without a fight .	1
i walked over and tried to help her .	1
why do you think seth wont tell us what he was doing ?	1
i asked , watching her because she had refused to let me help .	1
pride purposes ?	1
he was yelling at you when he broke his own rules .	1
he just doesnt want to admit he did she said through her wild hair .	1
her lock finally clicked and she stood up .	1
the boys were walking side by side towards the play set .	1
it wasnt actually that small but it looked that way from the street .	1
there were six swings and a tower with four slides attached to it .	1
i ran after them with emily right behind me .	1
i slowed down next to jason and put my arm on his shoulder .	1
hey jason , do you know seths a liar ?	1
i asked and seth shot me a bad look .	1
jason frowned at me , what are you talking about , jazell ?	1
he broke his own rules .	1
he was out scouting without telling us .	1
i smiled and jason stiffened .	1
what ?	1
he growled .	1
are you two trying to create trouble ?	1
seth cut in .	1
emily put her arm around my shoulders .	1
no , we just want the truth , emily said sweetly .	1
yeah okay , whatever .	1
seth shoved his hands in his pockets , and glared at the ground .	1
i sat on one of the swings next to emily .	1
i traced the sticky metal rings and sighed .	1
emily was on her phone .	1
i saw seth and jason arguing off to the side .	1
everything was back to normal .	1
there was even a dwarf climbing the slide .	1
wait , hold on .	1
a dwarf ?	1
i elbowed emily in the arm , uh emily , is a dwarf using a slide a normal thing ?	1
i nodded in the direction of the dwarf and her eyes widened in surprise .	1
she jumped off the swing and grabbed me by the arm .	1
she ran over to jason and gripped his arm with her free hand , pulling us both after her .	1
seth frowned but had no choice but to follow .	1
wheres the dwarf ?	1
she asked quickly .	1
climbing the slide .	1
weird huh ?	1
i almost tripped but i caught myself .	1
she pushed us into the woods , we got to move fast before someone gets hurt .	1
make sure no one is around .	1
in a matter of seconds , i had an arrow in my bow , seth had his sword in his hand and jason had his hands full of knives .	1
the dwarf was sitting on the edge of the slide , looking like an ugly version of a toddler , and a few more came out of the woods to join him .	1
we tried to sneak up without being spotted but one of the dwarves turned his head and saw us .	1
he immediately launched himself onto emily .	1
she screeched and i thought i saw one of the kids turn around .	1
he crawled up to her ear and whispered something that i couldnt hear .	1
she froze , but i saw her place her hands on his wrinkled skin .	1
fire flared from her fingertips , scorching his skin .	1
he let out a screech and vaulted off her , running as fast as his legs could take him .	1
i held an arrow out and emily set it ablaze .	1
i drew back , launching the arrow , and watching it as it hit the dwarf in the back .	1
the fire charred its dying body and i looked away to face my new attacker .	1
one jumped on my head and i swung with my knife .	1
it yelled into my ear , the one will rise , the one will rise !	1
he will destroy you !	1
i stabbed at him again , who ?	1
youre being too vague !	1
he jumped off me and ran into the woods .	1
he disappeared before i could notch an arrow and shoot him .	1
soon we were alone again .	1
emily made us all meet by the fountain .	1
i guess we all heard some weird dwarf talk .	1
okay ill start this time .	1
he said , kill all the dwarfs you like , but kojas will rise .	1
at least we have an idea of who they might be talking about .	1
she added to her list ; toad dwarf said , kill all you like but kojas will rise .	1
is kojas the person theyve been talking about ?	1
who is he ?	1
he told me , the one will rise , the one rise !	1
he will destroy you !	1
thats almost the same thing as last time .	1
i tapped the fountain .	1
she scribbled , toad dwarf said , the one will rise , the one will rise !	1
he will destroy you !	1
is kojas rising ?	1
seth , do you have anything ?	1
emily clicked her pencil .	1
seth shook his head , but jason spoke up , he said , the king will rise .	1
then he left .	1
emily added one last bullet ; toad dwarf said to jason , the king will rise .	1
her list was : toad dwarf said to jazell , hes rising , hes rising .	1
whos coming and is he important ?	1
toad dwarf told seth , you wont stop him , little warrior .	1
does this mean hes powerful ?	1
toad dwarf said to jason , he will destroy all half-ling .	1
what does half-ling mean ?	1
toad dwarf said to emily , kill all you like but kojas will rise .	1
is kojas the person theyve been talking about ?	1
who is he ?	1
toad dwarf said to jazell , the one will rise , the one will rise !	1
he will destroy you !	1
is kojas rising ?	1
toad dwarf said to jason , the king will rise .	1
she placed her notes in the middle so we could read it .	1
what does this all mean ?	1
i asked her .	1
she was silent , i guess the person theyre talking about is kojas , but we dont know who he is , or if hes important .	1
well , im thinking hes important because these weird dwarfs keep talking about him .	1
maybe hes their idol or something .	1
i said .	1
well , seth stated , maybe we should ask the dwarfs where he is .	1
thatll be hard .	1
emily pointed out .	1
they hardly tell us anything as it is .	1
you try squeezing out information from one of these pests .	1
i did .	1
whatever guys , were getting nowhere .	1
hey emily you want to sleep over tonight ?	1
i asked .	1
emily frowned , its my turn , jazell , and youre coming over my house .	1
honestly , em , just come over no , she said and crossed her arms stubbornly .	1
i sighed and ran a hand through my hair , knowing it was useless to argue with her when her mind was made up .	1
fine , ill call my parents .	1
but next time youre coming to my house .	1
she nodded , her curls bobbing .	1
fair enough .	1
okay then , see you two later .	1
jason turned around with seth on his heels .	1
